OD,CH,Diff
50,409.87,1023
1073,409,926
1999,408,1024
3023,407,1050
4073,406,1012
5085,405,1031
6116,404,1084
7200,403,1024
8224,402,989
9213,401,959
10172,400,1027
11199,399,1042
12241,398,948
13189,397,1035
14224,396,1132
15356,395,937
16293,394,1057
17350,393,829
18179,392,1269
19448,391,1038
20486,390,1029
21515,389,990
22505,388,1185
23690,387,921
24611,386,1024
25635,385,981
26616,384,1125
27741,383,1063
28804,382,1033
29837,381,1008
30845,380,1024
31869,379,1082
32951,378,1086
34037,377,997
35034,376,1120
36154,375,1038
37192,374,991
38183,373,637
38820,372.594,-38820
