OD,CH,Diff
130,409.87,183
313,410,996
1309,411,1073
2382,412,927
3309,413,1069
4378,414,977
5355,415,1067
6422,416,1120
7542,417,979
8521,418,1137
9658,419,1130
10788,420,1089
11877,421,1099
12976,422,947
13923,423,1077
15000,424,1027
16027,425,1096
17123,426,1027
18150,427,1014
19164,428,957
20121,429,1076
21197,430,1013
22210,431,1127
23337,432,997
24334,433,1098
25432,434,1047
26479,435,968
27447,436,1095
28542,437,958
29500,438,1077
30577,439,1090
31667,440,933
32600,441,1090
33690,442,560
34250,443,601
34851,443.33,-34851
,,
,,
,,
,,
,,
