OD,CH,Diff
1,344.663,473
474,345,1092
1566,346,1206
2772,347,907
3679,348,1000
4679,349,1106
5785,350,957
6742,351,1177
7919,352,580
8499,353,655
9154,354,1430
10584,355,1231
11815,356,1171
12986,357,972
13958,358,981
14939,359,1083
16022,360,1110
17132,361,1101
18233,362,836
19069,363,1035
20104,364,1113
21217,365,850
22067,366,1074
23141,367,1051
24192,368,1238
25430,369,951
26381,370,1091
27472,371,868
28340,372,410
28750,372.45,-28750
