OD,CH,Diff
1,285,815
816,286,1044
1860,287,1044
2904,288,986
3890,289,1027
4917,290,1082
5999,291,1025
7024,292,1101
8125,293,1004
9129,294,999
10128,295,814
10942,296,980
11922,297,1000
12922,298,1148
14070,299,963
15033,300,1020
16053,301,985
17038,302,1019
18057,303,1263
19320,304,1099
20419,305,899
21318,306,1523
22841,307,1107
23948,308,604
24552,309,996
25548,310,1099
26647,311,900
27547,311.9,-27547
